소재지,반납건수
강남구,0.0225094590904785
강동구,0.016290476270081414
강북구,0.0063903887839426715
강서구,0.024501022529073817
관악구,0.021041252221980753
광진구,0.06128532183197089
구로구,0.016376736488406693
금천구,0.0069975537315345735
노원구,0.01775556261388522
도봉구,0.0040178984380659435
동대문구,0.05063630841928707
동작구,0.018519645374657997
마포구,0.15846158132588864
서대문구,0.05799517433145544
서초구,0.026843422101116145
성동구,0.07799372551641898
성북구,0.01544592855112924
송파구,0.03239929342405144
양천구,0.01634932045002424
영등포구,0.12757061580211415
용산구,0.029160188791743983
은평구,0.039408660570498785
종로구,0.09208267161492725
중구,0.04497166452130594
중랑구,0.014996127205960202
